City,City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,360,Omsukchan,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
361,361,Harrison,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
362,362,Bay Saint Louis,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
363,363,Boralday,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
364,364,Kenai,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
365,365,Gobabis,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
366,366,Lerwick,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
367,367,Port Blair,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
368,368,Vila Velha,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
369,369,Vaitupu,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
370,370,Broome,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
371,371,Encruzilhada Do Sul,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
372,372,Esperance,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
373,373,Yeppoon,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
374,374,Sao Joao Da Barra,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
375,375,Oranjemund,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
376,376,Armidale,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
377,377,Acajutla,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
378,378,Namie,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
379,379,Bafq,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
380,380,Okhotsk,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
381,381,Port Hawkesbury,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
382,382,Maxixe,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
383,383,Kadykchan,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
384,384,Innisfail,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
385,385,Vanimo,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
386,386,Plettenberg Bay,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
387,387,Nokaneng,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
388,388,Khasan,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
389,389,Chulman,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
390,390,Rawannawi,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
391,391,Labutta,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
392,392,Palmer,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
393,393,Emba,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
394,394,Shakawe,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
395,395,Noeux-Les-Mines,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
