City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,Berlevag,70.8578,29.0864,30.2,64,0,1.14,NO,2021-04-08 15:25:23
150,Inhambane,-23.865,35.3833,77.9,70,82,9.35,MZ,2021-04-08 15:21:09
151,Homer,59.6425,-151.5483,28.4,80,90,5.75,US,2021-04-08 15:25:23
152,La Ronge,55.1001,-105.2842,44.6,53,100,6.91,CA,2021-04-08 15:25:24
153,Laranjeiras Do Sul,-25.4078,-52.4161,78.24,44,2,7.99,BR,2021-04-08 15:22:53
154,Lompoc,34.6391,-120.4579,48.2,87,98,5.75,US,2021-04-08 15:25:24
155,Rockhampton,-23.3833,150.5,71.6,94,1,1.79,AU,2021-04-08 15:25:25
156,Huarmey,-10.0681,-78.1522,72.63,81,89,6.58,PE,2021-04-08 15:25:25
157,Morant Bay,17.8815,-76.4093,84.99,70,20,5.75,JM,2021-04-08 15:25:25
158,Half Moon Bay,37.4636,-122.4286,51.8,87,90,16.11,US,2021-04-08 15:24:58
159,Tawang,27.5833,91.8667,44.8,91,97,1.48,IN,2021-04-08 15:24:42
160,Sitka,57.0531,-135.33,32.0,93,90,13.8,US,2021-04-08 15:25:26
161,Kromy,52.6876,35.7667,40.78,57,96,12.19,RU,2021-04-08 15:25:27
162,Matara,5.9485,80.5353,78.66,79,8,6.11,LK,2021-04-08 15:25:27
163,Namibe,-15.1961,12.1522,86.0,70,20,17.27,AO,2021-04-08 15:23:46
164,Mahebourg,-20.4081,57.7,80.6,74,75,6.91,MU,2021-04-08 15:22:08
165,Bambous Virieux,-20.3428,57.7575,81.0,74,75,6.91,MU,2021-04-08 15:22:15
166,Tucupita,9.0622,-62.051,89.83,47,97,5.91,VE,2021-04-08 15:25:28
167,Ubaitaba,-14.3125,-39.3233,82.4,83,40,8.05,BR,2021-04-08 15:25:28
168,Khandyga,62.6667,135.6,5.43,95,96,4.23,RU,2021-04-08 15:25:29
169,Leningradskiy,69.3833,178.4167,-23.94,97,19,5.88,RU,2021-04-08 15:25:29
170,Kijang,35.2442,129.2139,51.8,76,20,6.91,KR,2021-04-08 15:25:30
171,East London,-33.0153,27.9116,71.6,78,0,5.75,ZA,2021-04-08 15:25:30
172,Divnomorskoye,44.5011,38.1353,52.77,71,100,13.15,RU,2021-04-08 15:25:30
173,Vila Franca Do Campo,37.7167,-25.4333,62.6,82,40,20.71,PT,2021-04-08 15:22:43
174,Pevek,69.7008,170.3133,-25.24,99,84,4.92,RU,2021-04-08 15:25:31
175,Chegdomyn,51.1167,133.0167,21.58,78,10,2.89,RU,2021-04-08 15:25:31
176,Necochea,-38.5473,-58.7368,61.0,97,100,7.0,AR,2021-04-08 15:25:32
177,Nenjiang,49.1833,125.2167,31.14,38,14,5.23,CN,2021-04-08 15:25:32
178,Kutum,14.2,24.6667,92.5,5,23,11.88,SD,2021-04-08 15:25:32
179,Yerbogachen,61.2767,108.0108,25.45,96,100,8.28,RU,2021-04-08 15:25:33
180,Qinhuangdao,39.9317,119.5883,49.62,32,0,4.21,CN,2021-04-08 15:25:33
181,Martin,27.0837,-80.4164,79.0,50,20,5.75,US,2021-04-08 15:23:23
182,Stranda,62.3096,6.9358,34.0,95,100,5.01,NO,2021-04-08 15:25:34
183,Husavik,66.0449,-17.3389,23.0,80,90,19.57,IS,2021-04-08 15:24:11
184,Mount Isa,-20.7333,139.5,73.4,35,84,9.22,AU,2021-04-08 15:25:34
185,Madimba,-10.4,40.3333,84.2,70,20,11.5,TZ,2021-04-08 15:25:35
186,Abha,18.2164,42.5053,73.4,53,20,12.66,SA,2021-04-08 15:25:35
187,Provideniya,64.3833,-173.3,-10.79,92,47,1.16,RU,2021-04-08 15:25:36
188,Abu Kamal,34.4506,40.9171,87.3,14,0,7.23,SY,2021-04-08 15:24:48
189,Erzin,36.9559,36.2,64.0,87,66,8.12,TR,2021-04-08 15:25:36
190,Tongliao,43.6125,122.2653,40.62,25,0,7.56,CN,2021-04-08 15:25:37
191,Broken Hill,-31.95,141.4333,73.4,20,99,10.36,AU,2021-04-08 15:25:37
192,Kosh-Agach,50.0,88.6667,28.11,62,12,4.16,RU,2021-04-08 15:25:37
193,Saint-Denis,48.9167,2.3333,55.4,38,0,3.44,FR,2021-04-08 15:25:38
194,Hamilton,39.1834,-84.5333,66.99,63,90,9.22,US,2021-04-08 15:25:05
195,Barrow,71.2906,-156.7887,-20.2,69,40,10.36,US,2021-04-08 15:25:38
196,Itarema,-2.9248,-39.9167,86.13,66,34,18.41,BR,2021-04-08 15:25:39
197,Seoul,37.5683,126.9778,48.2,34,0,3.44,KR,2021-04-08 15:25:39
198,Acapulco,16.8634,-99.8901,80.6,65,20,4.61,MX,2021-04-08 15:25:40
199,Dudhani,17.3667,76.3667,91.22,28,89,9.66,IN,2021-04-08 15:25:40
200,Bardiyah,31.7561,25.0865,66.83,46,0,11.92,LY,2021-04-08 15:25:40
201,Tiksi,71.6872,128.8694,-15.48,100,100,4.38,RU,2021-04-08 15:23:02
202,Itambe,-15.245,-40.6244,76.24,70,100,6.38,BR,2021-04-08 15:25:42
203,Wuning,29.2589,120.2311,50.25,94,100,2.01,CN,2021-04-08 15:25:42
204,Petropavlovsk-Kamchatskiy,53.0452,158.6483,33.8,60,40,17.9,RU,2021-04-08 15:21:02
205,Gizo,-8.103,156.8419,79.07,87,100,28.66,SB,2021-04-08 15:25:43
206,Grindavik,63.8424,-22.4338,24.8,63,75,26.46,IS,2021-04-08 15:22:52
207,Pimentel,-6.8367,-79.9342,75.2,69,75,12.66,PE,2021-04-08 15:25:43
208,Saint-Joseph,-21.3667,55.6167,82.4,69,75,9.28,RE,2021-04-08 15:25:44
209,Andenes,69.3143,16.1194,32.0,80,20,16.11,NO,2021-04-08 15:25:45
210,Iqaluit,63.7506,-68.5145,35.6,51,75,5.75,CA,2021-04-08 15:25:45
211,Catuday,16.2923,119.8062,78.31,77,35,7.27,PH,2021-04-08 15:25:46
212,Bara,10.3744,10.7288,107.6,10,0,24.16,NG,2021-04-08 15:22:10
213,Kulhudhuffushi,6.6221,73.07,83.05,73,36,7.45,MV,2021-04-08 15:25:46
214,Carutapera,-1.195,-46.02,80.76,85,100,6.55,BR,2021-04-08 15:25:47
215,Rio Gallegos,-51.6226,-69.2181,50.0,46,40,24.16,AR,2021-04-08 15:24:48
216,Kurdzhinovo,43.9884,40.9552,58.86,69,11,5.91,RU,2021-04-08 15:25:47
217,Guerrero Negro,27.9769,-114.0611,64.36,75,36,11.39,MX,2021-04-08 15:25:48
218,Glendive,47.1053,-104.7125,48.2,53,1,11.5,US,2021-04-08 15:25:48
219,Paracuru,-3.41,-39.0306,86.0,63,50,25.99,BR,2021-04-08 15:25:48
220,Martinsville,36.6915,-79.8725,71.01,60,1,6.91,US,2021-04-08 15:25:49
221,Ozernovskiy,51.5,156.5167,32.23,73,100,39.12,RU,2021-04-08 15:25:49
222,Guelph,43.5501,-80.2497,64.99,52,1,10.36,CA,2021-04-08 15:25:50
223,Mocuba,-16.8392,36.9856,73.45,87,100,6.35,MZ,2021-04-08 15:25:50
224,Eirunepe,-6.6603,-69.8736,83.19,71,95,3.09,BR,2021-04-08 15:25:50
225,Havre-Saint-Pierre,50.2334,-63.5986,48.2,66,1,8.05,CA,2021-04-08 15:25:51
226,Ilulissat,69.2167,-51.1,30.2,69,75,8.05,GL,2021-04-08 15:24:07
227,Changji,44.0167,87.3167,60.8,31,0,4.47,CN,2021-04-08 15:25:51
228,Lata,40.1629,-8.3327,71.01,43,21,4.0,PT,2021-04-08 15:25:52
229,Clyde River,70.4692,-68.5914,12.2,92,90,21.85,CA,2021-04-08 15:25:52
